geo_point_2d;geo_shape;type_jard;nom_ev;adresse;arrdt;nom_gerant;adr_gerant;charte
48.8278768325, 2.31054478456;"{""type"": ""Point"", ""coordinates"": [2.310544784560827, 48.82787683250583]}";Jardin partagé;Square Auguste Renoir;Rue des Mariniers;14;Les jardins partagés du 14ème;4 square André Lichtenberger, 75014 Paris;Charte Main Verte
48.8639030189, 2.29617022041;"{""type"": ""Point"", ""coordinates"": [2.296170220414265, 48.863903018918506]}";Jardin partagé;Le Jardin aux Habitants;Palais de Tokyo / Rue de la Manutention;16;Association du jardin aux habitants;2 rue de la Manutention 75016 Paris;Charte Main Verte
48.8975924859, 2.34318957127;"{""type"": ""Point"", ""coordinates"": [2.343189571269221, 48.89759248591589]}";Jardin partagé;Jardins du Ruisseau;PC / à côté du 110 rue du Ruisseau;18;Les Amis des Jardins du Ruisseau;7 villa des Tulipes, 75018 Paris;Charte Main Verte
48.890307776, 2.38232178032;"{""type"": ""Point"", ""coordinates"": [2.382321780316934, 48.89030777598331]}";Jardin partagé;Un P'tit Bol d'Air;11 quai de l'Oise;19;Un Petit Bol d'Air;5 rue de l'Argonne 75019 Paris;Charte Main Verte
48.8630619561, 2.36161997381;"{""type"": ""Point"", ""coordinates"": [2.361619973811308, 48.863061956095564]}";Jardin partagé;Potager des Oiseaux;Rue des Oiseaux;3;Les jardiniers du 3ème;c/o MDA-5 rue Perrée, 75003 Paris;Charte Main Verte
48.8614918882, 2.35506244487;"{""type"": ""Point"", ""coordinates"": [2.355062444872987, 48.86149188820756]}";Jardin partagé;1001 feuilles;Jardin Anne Franck / Impasse Berthaud;3;1001 feuilles;100 rue du Temple, 75003 Paris;Charte Main Verte
48.8214538681, 2.37611135286;"{""type"": ""Point"", ""coordinates"": [2.37611135285505, 48.82145386808833]}";Jardin partagé;Les Jardins Malins;Square Boutroux / rue Franc Nohain;13;F.N. des jardins familliaux et collectifs;12 rue Felix Faure, 75015 Paris;Charte Main Verte
48.8856321131, 2.32734044739;"{""type"": ""Point"", ""coordinates"": [2.327340447389945, 48.88563211314231]}";Jardin partagé;Jardin Partagé du jardin des Deux Nèthes;24/28 avenue de Clichy;18;Cultures et Potager 17/18;19 avenue de Clichy 75017 Paris;Charte Main Verte
48.8878210433, 2.37249388778;"{""type"": ""Point"", ""coordinates"": [2.372493887780131, 48.88782104327548]}";Jardin partagé;Serre aux Légumes;57 avenue de Flandre;19;C P N et S.L.C.;29 rue de Babylone, 75007 Paris;Charte Main Verte
48.8772827531, 2.37590503825;"{""type"": ""Point"", ""coordinates"": [2.375905038245913, 48.87728275305889]}";Jardin partagé;Butte Bergeyre;Rue Georges Lardennois / angle rue Rémi de Gourmont;19;Les Habitants de la Butte Bergeyre;12rue Rémy de Gourmont, 75019 Paris;Charte Main Verte
48.8907580682, 2.38853403075;"{""type"": ""Point"", ""coordinates"": [2.388534030751868, 48.89075806822827]}";Jardin partagé;Les Jardins Passagers;Parc de la Villette / près de la Grande Halle - Pte de Pantin;19;EPIC La Villette;;Charte Main Verte
48.8766563721, 2.38401080272;"{""type"": ""Point"", ""coordinates"": [2.384010802722237, 48.87665637206326]}";Jardin partagé;Jardin Fessart;45 rue Fessart;19;Le jardin Fessart;;Charte Main Verte
48.8687244242, 2.39681473787;"{""type"": ""Point"", ""coordinates"": [2.396814737872245, 48.86872442415576]}";Jardin partagé;Jardins des Soupirs;18 passage des Soupirs;20;Association du Passage des Soupirs;18 passage des soupirs, 75020 Paris;Charte Main Verte
48.8705366377, 2.37495910293;"{""type"": ""Point"", ""coordinates"": [2.374959102928104, 48.87053663765156]}";Jardin pédagogique;Centre de la Terre;Square Jules Verne / 19 bis rue de l'Orillon;11;;;Charte Main Verte
48.8369630106, 2.31245684044;"{""type"": ""Point"", ""coordinates"": [2.312456840442604, 48.836963010563096]}";Jardin partagé;Fleurs de Bitume;Square Dalpayrat / 2 rue André Gide;15;Fleurs de Bitume;85 bd Pasteur, 75015 Paris;Charte Main Verte
48.8346963334, 2.35016721103;"{""type"": ""Point"", ""coordinates"": [2.350167211031871, 48.83469633342132]}";Jardin partagé;Jardin de Croulebarbe;1/9 rue Berbier du Mets;13;Association des jardins partagés de Croulebarbe;4 rue Auguste Perret,75013 Paris;Charte Main Verte
48.8744635795, 2.35830997834;"{""type"": ""Point"", ""coordinates"": [2.35830997833937, 48.8744635794749]}";Jardin potagé;Saint Laurent;Boulevard Magenta;10;;;
48.8782458959, 2.40846275189;"{""type"": ""Point"", ""coordinates"": [2.408462751885395, 48.878245895862385]}";Jardin partagé;Serge Gainsbourg;Square S. Gainsbourg / sur dalle du Boulevard périphérique;19;Le lien des Lilas;;Charte Main Verte
48.8845687765, 2.36556467556;"{""type"": ""Point"", ""coordinates"": [2.365564675560841, 48.88456877650751]}";Jardin potagé;240 boulevard de la Villette;240 boulevard de la Villette;19;;;
